"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1967459959391867132","Mon Sep 15 05:26:22 +0000 2025","865","PNS badannya kurang tinggi dikit ga lolos giliran bahlil mukanya kurang masuk akal boleh jadi menteri","1967459959391867132","","","in","","22","26","366","https://x.com/undefined/status/1967459959391867132","1115527493522345990",
"1966892003989520497","Sat Sep 13 15:49:31 +0000 2025","11374","AFFAN BELUM DAPAT KEADILAN PELAKUNYA CUMA DIPECAT DAN TIDAK DIADILI 10 KORBAN MD LAINNYA BELUM ADA PERTANGGUNGJAWABAN RATUSAN MASIH DI TAHAN PULUHAN HILANG. jangan back to normal lagi atuh woi rawat ingatan kolektif buat terus digaungin biar orang banyak gak lupa.","1966892003989520497","","","in","","35","11","8452","https://x.com/undefined/status/1966892003989520497","1738713236609159168",
"1964889328532021302","Mon Sep 08 03:11:36 +0000 2025","5053","ACAB itu semua ya guys ya. Semua. Ga ada pengecualian. Karena di institusi itu cuma ada dua tipe: - Jahat kalaupun ga jahat - Rida terhadap kejahatan (complicit). Ga ada itu yang baik. Yang baik antara keluar sendiri dipaksa keluar atau tewas.","1964889328532021302","","","in","","27","9","2573","https://x.com/undefined/status/1964889328532021302","1202899827480088577",
"1964212259523014967","Sat Sep 06 06:21:10 +0000 2025","192","putu mayang #reset https://t.co/v6SMfqJAXG","1964212259523014967","https://pbs.twimg.com/media/G0JInjeWwAAfttE.jpg","","in","","1","27","2","https://x.com/undefined/status/1964212259523014967","1115527493522345990",
"1963959140495057283","Fri Sep 05 13:35:22 +0000 2025","352","malas baca jadi acab malas konsolidasi jadi afutami","1963959140495057283","","","in","","13","6","71","https://x.com/undefined/status/1963959140495057283","4461377052",
"1964514308567797996","Sun Sep 07 02:21:24 +0000 2025","11637","Halte rusak bisa dibangun lagi. Orang mati gak bisa hidup lagi. Apalagi yg rusak halte provokator mudah aja nangkepnya buktinya yg jarah rumah bisa ditangkepin juga. Bikin kita bertanya2 ngapain polisi bunuhin orang? Ngapain mukulin orang? Lalu kita berkesimpulan: ACAB.","1964514308567797996","","","in","","20","10","6762","https://x.com/undefined/status/1964514308567797996","47891751",
"1967422620602880191","Mon Sep 15 03:20:31 +0000 2025","5","dibuka dengan wangi kertas dan kapas yang belum pernah kebayang sama aku sebelumnya lalu ada lemon yang segar pink peppercorn dan fig leaves yang spicy-herby. disambut aroma mawar orange flower dan bunga kering yang subtil banget. ga ada yang menonjol sendiri harmonis aja. https://t.co/mY70oDVrwk","1967428287606779947","https://pbs.twimg.com/amplify_video_thumb/1967428219478626304/img/VkyWMecplG1tn-OT.jpg","centildikit","in","","2","1","0","https://x.com/undefined/status/1967428287606779947","1115527493522345990",
"1967377826514182418","Mon Sep 15 08:00:04 +0000 2025","107","@ARSIPAJA ACAB AZAB Zionis member +1 its indonesian police. https://t.co/wYdDtAbROG","1967498639556899299","https://pbs.twimg.com/media/G031lcmbcAEmTJE.jpg","ARSIPAJA","in","","0","0","9","https://x.com/undefined/status/1967498639556899299","1311843980636643328",
"1963856625493475588","Fri Sep 05 06:48:00 +0000 2025","64","ada yang kenal sama akun ini? kalo misalnya ada info selain nomor wa nya boleh tolong disampaikan ya.... aku cuman punya nomor wa dia (skrg centang satu tp ga diblokir kayaknya) also meng kalo lu liat ini tolong balikin ya 395k + 20k yang lo pinjem waktu itu. https://t.co/qG2Uk7CT2U","1963856625493475588","https://pbs.twimg.com/media/G0EFMHUbgAAtl7b.jpg","","in","","39","1","80","https://x.com/undefined/status/1963856625493475588","1495688110755045376",
"1964890339543834998","Mon Sep 08 03:15:37 +0000 2025","25","semoga tuhan mengampuni aku untuk cara-caraku menghadapi rasa sakit","1964890339543834998","","","in","","3","0","7","https://x.com/undefined/status/1964890339543834998","1115527493522345990",
"1964137952239644938","Sat Sep 06 01:25:54 +0000 2025","4","ACAB Aku Cinta Ayam Bakar https://t.co/CRyjPYdsGq","1964137952239644938","https://pbs.twimg.com/media/G0IFDwSbUAEPB6S.jpg","","in","","0","0","0","https://x.com/undefined/status/1964137952239644938","1496066001649410048",
"1964641435485106196","Sun Sep 07 10:46:34 +0000 2025","25","feast tapi bukan baskara https://t.co/l4OMMiNIn8","1964641435485106196","https://pbs.twimg.com/media/G0POCsfXwAAMFdM.jpg","","in","","0","1","0","https://x.com/undefined/status/1964641435485106196","1115527493522345990",
"1963943018228076772","Sun Sep 07 01:07:53 +0000 2025","37","@ReynaValmores ACAB. Solidarity from Indonesia #SEAblings https://t.co/J2uryHJRh0","1964495804741406770","https://pbs.twimg.com/media/G0NKgxZXkAADjFQ.jpg","ReynaValmores","in","","0","0","5","https://x.com/undefined/status/1964495804741406770","1215641139673542656",
"1964697914959405462","Sun Sep 07 14:30:59 +0000 2025","26","jujur gw gak mau kuliah","1964697914959405462","","","in","","0","0","8","https://x.com/undefined/status/1964697914959405462","1619698171072114689",
"1965094093832548454","Mon Sep 08 16:45:16 +0000 2025","1223","🇮🇩 Indonesia #ACAB https://t.co/bdnEeS3ewH","1965094093832548454","https://pbs.twimg.com/amplify_video_thumb/1965093795382407168/img/QuIsXx7RqgRr10Wd.jpg","","in","","12","0","382","https://x.com/undefined/status/1965094093832548454","1720152282",
"1963315187462930487","Wed Sep 03 18:56:31 +0000 2025","12","Barusan selesai merajut bookmark dengan trio warna perjuangan. Ayo banyak2 baca supaya gak jadi acab~ Thank youuu bukunya mbak @nenyish!! https://t.co/0AnBoknVvS","1963315187462930487","https://pbs.twimg.com/media/Gz8YwDrbkAMWMEH.jpg","","in","","0","2","1","https://x.com/undefined/status/1963315187462930487","139762728",
"1963516650818617801","Thu Sep 04 10:29:49 +0000 2025","7140","@Jateng_Twit sebetulnya betul emg bukan tugas bapak tersebut bantuin yg kehilangan hp. tp etika si bapak yg ngga ada. bapaknya gapunya empati. security bank jg gabisa loh bantu nasabah yg atmnya ketelen. tp kalau kita mintol jawabannya saya bantu antrikan ke CS ya acab ini mannernya 0","1963550057988292847","","Jateng_Twit","in","","13","33","593","https://x.com/undefined/status/1963550057988292847","1512790187449135106",
